1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
3 0 4 11 66 0 75 60 54 0 48 0 95 96 76 0 54 0 0 0 0 56 0 0 32 58 26 0 0 27 0 0 13 0 0 0 0 0 64 76 96 96 0 74 10 0 8 0 0 44
0 0 0 16 0 0 28 0 0 86 0 33 0 0 58 85 0 35 0 0 0 0 0 99 74 0 0 38 51 91 51 14 0 0 0 0 10 0 24 52 46 0 0 0 37 92 43 39 0 0
0 0 95 0 13 20 0 37 0 0 70 0 0 0 0 45 22 34 0 0 0 0 0 0 0 13 53 0 86 0 0 16 0 0 0 0 0 0 0 0 0 46 0 0 26 37 0 0 0 0
50 0 30 0 0 0 52 38 0 1 0 0 0 86 0 0 0 0 56 0 0 0 0 0 0 72 0 0 0 0 71 0 0 0 19 0 0 0 23 0 4 0 13 86 0 0 0 0 30 21
0 50 19 97 0 0 0 15 0 0 88 99 33 5 0 56 59 66 0 0 0 0 0 5 0 43 92 0 0 0 0 0 93 0 0 0 0 54 0 0 37 0 87 0 51 0 69 0 0 0
0 7 0 0 83 0 0 0 0 0 51 56 0 0 72 99 47 0 0 99 0 0 5 0 33 11 0 0 0 0 0 90 48 60 84 0 82 11 8 21 0 35 0 0 0 7 73 0 0 0
23 0 69 0 0 0 25 60 32 0 0 0 0 44 28 0 0 3 32 74 0 0 0 33 0 0 39 0 62 0 0 47 71 7 0 0 0 0 63 58 0 0 0 26 0 0 0 0 0 0
0 13 0 78 95 0 0 0 93 52 0 0 0 0 89 13 45 44 58 0 13 72 43 11 0 0 0 0 0 0 0 0 44 37 0 0 0 0 0 3 0 0 0 0 8 0 0 69 56 59
0 66 0 0 0 0 19 0 0 0 0 0 10 0 0 0 26 0 26 0 53 0 92 0 39 0 0 0 0 0 0 68 27 90 40 0 0 34 0 0 0 0 0 39 0 70 0 0 63 80
0 0 78 78 32 0 78 0 0 12 0 11 0 0 0 28 0 94 0 38 0 0 0 0 0 0 0 0 0 0 0 93 0 53 0 33 0 0 0 0 0 39 0 63 0 71 59 10 0 0
0 43 0 33 0 0 67 0 31 0 86 3 0 68 0 0 0 97 0 51 86 0 0 0 62 0 0 0 0 0 0 0 0 0 0 42 9 28 0 36 0 0 0 38 0 0 0 0 15 0
46 51 0 0 83 0 87 25 0 0 0 51 78 30 0 74 0 97 27 91 0 0 0 0 0 0 0 0 0 0 18 0 0 0 60 24 8 0 0 0 0 0 74 33 0 0 0 42 0 6
0 68 13 35 25 3 96 0 48 0 0 97 0 42 0 6 0 76 0 51 0 71 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 63 18 0 0 0 0 51 68 0 49 0 0
0 0 31 0 0 2 0 0 0 0 0 0 50 0 0 0 67 0 0 14 16 0 0 90 47 0 68 93 0 0 0 0 68 0 95 11 0 0 0 0 0 0 45 0 0 0 71 0 0 0
0 0 42 0 0 22 0 47 29 0 0 80 0 42 0 61 0 0 13 0 0 0 93 48 71 44 27 0 0 0 0 68 0 0 78 42 0 0 0 0 0 28 0 26 79 26 0 91 38 12
61 0 0 0 65 76 86 0 0 0 0 0 0 0 0 75 68 0 0 0 0 0 0 60 7 37 90 53 0 0 0 0 0 0 20 0 0 20 0 17 31 95 0 0 89 0 50 0 0 0
4 58 90 0 28 0 0 12 0 22 40 24 0 0 0 0 39 98 0 0 0 19 0 84 0 0 40 0 0 60 0 95 78 20 0 0 0 0 89 40 0 0 0 0 0 95 0 0 0 0
14 0 0 0 41 0 0 8 0 0 0 88 26 0 0 81 0 0 0 0 0 0 0 0 0 0 0 33 42 24 0 11 42 0 0 0 47 0 0 0 0 0 0 18 0 84 0 72 0 0
50 25 0 0 0 0 0 0 0 0 0 80 75 0 47 0 0 0 0 10 0 0 0 82 0 0 0 0 9 8 0 0 0 0 0 47 0 0 0 0 73 91 0 57 0 0 84 0 78 0
44 43 54 70 88 74 0 0 0 35 71 0 0 0 74 0 0 0 0 0 0 0 54 11 0 0 34 0 28 0 0 0 0 20 0 0 0 0 49 7 0 13 40 64 0 0 39 0 0 0
0 0 0 0 47 0 84 11 45 0 0 0 0 0 38 0 12 65 64 24 0 23 0 8 63 0 0 0 0 0 63 0 0 0 89 0 0 49 0 72 57 9 0 0 0 0 0 0 0 20
92 3 87 57 0 43 0 22 0 0 0 0 0 0 36 11 78 0 76 52 0 0 0 21 58 3 0 0 36 0 18 0 0 17 40 0 0 7 72 0 0 0 0 93 0 54 0 0 48 30
73 0 30 84 0 0 0 0 0 0 13 51 0 0 84 58 0 39 96 46 0 4 37 0 0 0 0 0 0 0 0 0 0 31 0 0 73 0 57 0 0 0 0 41 66 46 0 32 0 88
0 0 80 0 0 84 0 0 4 42 89 0 0 0 4 16 54 0 96 0 46 0 0 35 0 0 0 39 0 0 0 0 28 95 0 0 91 13 9 0 0 0 81 95 0 0 0 0 95 0
40 22 0 23 0 0 0 0 56 0 0 0 0 86 0 0 82 0 0 0 0 13 87 0 0 0 0 0 0 74 0 45 0 0 0 0 0 40 0 0 0 81 0 27 72 0 0 20 77 0
0 0 27 0 0 0 86 72 0 33 71 0 0 37 12 0 0 0 74 0 0 86 0 0 26 0 39 63 38 33 0 0 26 0 0 18 57 64 0 93 41 95 27 0 0 74 99 0 92 0
13 41 0 0 23 0 0 0 0 95 0 2 0 0 0 8 0 51 10 37 26 0 51 0 0 8 0 0 0 0 51 0 79 89 0 0 0 0 0 0 66 0 72 0 0 56 0 59 0 95
74 0 73 15 0 82 0 9 0 71 80 31 78 0 43 0 0 36 0 92 37 0 0 7 0 0 70 71 0 0 68 0 26 0 95 84 0 0 0 54 46 0 0 74 56 0 43 0 37 16
57 43 42 0 0 0 0 0 0 0 8 21 0 0 55 0 0 27 8 43 0 0 69 73 0 0 0 59 0 0 0 71 0 50 0 0 84 39 0 0 0 0 0 99 0 43 0 0 87 0
0 14 14 0 0 0 0 0 78 47 16 4 0 53 39 0 0 0 0 39 0 0 0 0 0 69 0 10 0 42 49 0 91 0 0 72 0 0 0 0 32 0 20 0 59 0 0 0 0 4
67 0 0 66 0 0 23 0 0 6 0 0 0 0 0 92 0 9 0 0 0 30 0 0 0 56 63 0 15 0 0 0 38 0 0 0 78 0 0 48 0 95 77 92 0 37 87 0 0 27
61 0 0 0 80 0 0 0 0 0 0 0 48 34 0 40 1 0 44 0 0 21 0 0 0 59 80 0 0 6 0 0 12 0 0 0 0 0 20 30 88 0 0 0 95 16 0 4 27 0
